station,latitude,longitude
Townsend at 7th,37.771058,-122.402717
San Francisco Caltrain (Townsend at 4th),37.776617,-122.39526
Civic Center BART (7th at Market),37.780356,-122.412919
St James Park,37.339301,-121.889937
Harry Bridges Plaza (Ferry Building),37.795392,-122.394203
San Jose Diridon Caltrain Station,37.329732,-121.901782
2nd at Townsend,37.780526,-122.390288
Spear at Folsom,37.789625,-122.390264
Clay at Battery,37.795001,-122.39997
Powell Street BART,37.783871,-122.408433
2nd at South Park,37.782259,-122.392738
Market at 10th,37.776619,-122.417385
Market at Sansome,37.789625,-122.400811
San Francisco Caltrain 2 (330 Townsend),37.776377,-122.39607
Park at Olive,37.4256839,-122.1377775
Powell at Post (Union Square),37.788446,-122.408499
Beale at Market,37.792251,-122.397086
Howard at 2nd,37.786978,-122.398108
Steuart at Market,37.794139,-122.394434
Broadway St at Battery St,37.798541,-122.400862
Embarcadero at Sansome,37.80477,-122.403234
Palo Alto Caltrain Station,37.443988,-122.164759
Temporary Transbay Terminal (Howard at Beale),37.789756,-122.394643
Market at 4th,37.786305,-122.404966
2nd at Folsom,37.785299,-122.396236
Grant Avenue at Columbus Avenue,37.798522,-122.407245
Embarcadero at Folsom,37.791464,-122.391034
Mountain View Caltrain Station,37.394358,-122.076713
Yerba Buena Center of the Arts (3rd @ Howard),37.784878,-122.401014
Golden Gate at Polk,37.781332,-122.418603
Paseo de San Antonio,37.333798,-121.886943
Embarcadero at Bryant,37.787152,-122.388013
San Antonio Caltrain Station,37.40694,-122.106758
Commercial at Montgomery,37.794231,-122.402923
Post at Kearny,37.788975,-122.403452
South Van Ness at Market,37.774814,-122.418954
Mechanics Plaza (Market at Battery),37.7913,-122.399051
Castro Street and El Camino Real,37.385956,-122.083678
SJSU 4th at San Carlos,37.332808,-121.883891
5th at Howard,37.781752,-122.405127
San Jose City Hall,37.337391,-121.886995
Ryland Park,37.342725,-121.895617
Davis at Jackson,37.79728,-122.398436
Embarcadero at Vallejo,37.799953,-122.398525
Washington at Kearny,37.795425,-122.404767
San Pedro Square,37.336721,-121.894074
Rengstorff Avenue / California Street,37.400241,-122.099076
MLK Library,37.335885,-121.88566
San Francisco City Hall,37.77865,-122.418235
Japantown,37.348742,-121.894715
Santa Clara at Almaden,37.333988,-121.894902
University and Emerson,37.444521,-122.163093
San Salvador at 1st,37.330165,-121.885831
Redwood City Caltrain Station,37.486078,-122.232089
SJSU - San Salvador at 9th,37.333955,-121.877349
Stanford in Redwood City,37.486725,-122.225551
Mountain View City Hall,37.389218,-122.081896
San Jose Civic Center,37.330698,-121.888979
San Antonio Shopping Center,37.400443,-122.108338
Cowper at University,37.448598,-122.159504
Adobe on Almaden,37.331415,-121.8932
Santa Clara County Civic Center,37.352601,-121.905733
Evelyn Park and Ride,37.390277,-122.066553
