Colif_total	Colif_fecal	Estrep_fecal	Cont_mineral	Conductivitat	Solids_susp	DQO_M
136	123	80	49	21	883	660
208	204	106	71	17	1071	738
247	231	108	51	22	1082	744
249	235	110	25	30	881	720
185	179	101	33	21	971	702
166	154	95	44	18	1057	726
204	196	113	40	18	902	714
215	207	109	30	14	997	726
114	119	85	24	22	717	660
188	187	101	37	21	880	702
207	211	97	48	21	1170	744
185	184	104	54	19	1048	732
240	232	101	26	21	1081	738
226	217	101	66	18	1259	780
149	145	85	44	20	889	684
177	175	101	33	20	994	726
170	155	95	37	22	820	684
210	203	107	31	22	1022	720
204	199	107	52	22	1077	720
146	142	78	33	18	1018	708
256	239	107	42	22	982	714
210	213	115	36	24	936	720
204	201	107	45	21	1041	726
206	189	102	38	21	937	708
72	71	78	61	15	818	666
166	168	102	49	18	1011	726
117	108	78	39	18	928	666
111	119	92	51	14	1011	690
144	145	84	33	19	900	690
109	113	87	35	14	929	696
248	244	116	39	21	1059	762
252	241	121	60	16	1168	774
211	208	107	63	19	983	720
165	163	102	36	18	963	708
268	267	116	41	19	1074	762
179	189	103	39	19	974	732
244	244	110	60	21	1143	780
188	184	104	27	22	1043	714
181	174	104	25	21	927	708
180	179	100	59	14	1078	738
213	220	107	60	19	1131	768
194	189	107	45	19	886	702
202	192	103	48	22	995	714
216	217	114	74	16	1156	768
170	156	98	65	13	1124	744
146	135	82	37	19	868	666
129	136	89	28	22	863	690
187	182	97	27	28	989	708
265	251	104	45	28	984	720
239	227	103	42	21	1168	762
183	174	100	55	14	1170	756
170	163	102	54	19	1003	720
200	204	97	34	20	1058	720
220	222	114	51	21	1083	750
226	218	109	55	21	1120	756
254	240	119	49	19	976	738
217	210	112	53	18	1017	732
