stat	pop	inco	illi	lifex	area	reg
Alabama	3615	3624	2.1	NA	50708	South
Alaska	365	6315	*	69.31	566432	West
Arizona	2212	4530	1.8	70.55	113417	West
Arkansas	2110	3378	1.9	70.66	51945	South
California	21198	5114	1.1	71.71	156361	West
Colorado	2541	4884	0.7	72.06	103766	West
Connecticut	3100	5348	1.1	72.48	4862	Northeast
Delaware	579	4809	0.9	NA	1982	South
Florida	8277	4815	*	70.66	54090	South
Georgia	4931	4091	2	68.54	58073	South
Hawaii	868	4963	1.9	73.6	6425	West
Idaho	813	4119	0.6	71.87	82677	West
Illinois	11197	5107	0.9	70.14	55748	North Central
Indiana	5313	*	*	70.88	36097	North Central
Iowa	2861	4628	0.5	72.56	55941	North Central
Kansas	2280	4669	0.6	72.58	81787	North Central
Kentucky	3387	3712	1.6	70.1	39650	South
Louisiana	3806	3545	2.8	68.76	44930	South
Maine	1058	3694	0.7	70.39	30920	Northeast
Maryland	4122	5299	0.9	70.22	9891	South
Massachusetts	5814	4755	1.1	71.83	7826	Northeast
Michigan	9111	4751	0.9	70.63	56817	North Central
Minnesota	3921	4675	0.6	72.96	79289	North Central
Mississippi	2341	3098	2.4	68.09	47296	South
Missouri	4767	4254	0.8	70.69	68995	North Central
Montana	746	4347	0.6	70.56	145587	West
Nebraska	1544	4508	0.6	72.6	76483	North Central
Nevada	590	5149	0.5	69.03	109889	West
New Hampshire	812	4281	0.7	71.23	9027	Northeast
New Jersey	7333	5237	1.1	70.93	7521	Northeast
New Mexico	1144	3601	2.2	70.32	121412	West
New York	18076	4903	1.4	70.55	47831	Northeast
North Carolina	5441	3875	1.8	69.21	48798	South
North Dakota	637	5087	0.8	72.78	69273	North Central
Ohio	10735	4561	0.8	70.82	40975	North Central
Oklahoma	2715	3983	1.1	71.42	68782	South
Oregon	2284	4660	0.6	72.13	96184	West
Pennsylvania	11860	4449	1	70.43	44966	Northeast
Rhode Island	931	4558	1.3	71.9	1049	Northeast
South Carolina	2816	3635	2.3	67.96	30225	South
South Dakota	681	4167	0.5	72.08	75955	North Central
Tennessee	4173	3821	1.7	70.11	41328	South
Texas	12237	4188	2.2	70.9	262134	South
Utah	1203	4022	0.6	72.9	82096	West
Vermont	472	3907	0.6	71.64	9267	Northeast
Virginia	4981	4701	1.4	70.08	39780	South
Washington	3559	*	NA	71.72	66570	West
West Virginia	1799	3617	1.4	69.48	24070	South
Wisconsin	4589	4468	0.7	72.48	54464	North Central
Wyoming	376	4566	0.6	70.29	97203	West
